,round,gameday,date,time,gamenumber,gamecode,group,hometeam,homecode,homescore,awayteam,awaycode,awayscore,played
221,RS,25,"Feb 05, 2025",20:30,223,E2024_223,Regular Season,FC BARCELONA,BAR,100,MACCABI PLAYTIKA TEL AVIV,TEL,71,True
222,RS,25,"Feb 05, 2025",20:30,224,E2024_224,Regular Season,PARIS BASKETBALL,PRS,73,OLYMPIACOS PIRAEUS,OLY,90,True
223,RS,25,"Feb 05, 2025",20:30,225,E2024_225,Regular Season,VIRTUS SEGAFREDO BOLOGNA,VIR,71,PARTIZAN MOZZART BET BELGRADE,PAR,81,True
224,RS,26,"Feb 06, 2025",18:30,226,E2024_226,Regular Season,FENERBAHCE BEKO ISTANBUL,ULK,78,REAL MADRID,MAD,67,True
225,RS,26,"Feb 06, 2025",19:00,227,E2024_227,Regular Season,ALBA BERLIN,BER,71,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,77,True
226,RS,26,"Feb 06, 2025",19:00,228,E2024_228,Regular Season,ZALGIRIS KAUNAS,ZAL,87,EA7 EMPORIO ARMANI MILAN,MIL,89,True
227,RS,26,"Feb 06, 2025",20:15,229,E2024_229,Regular Season,PANATHINAIKOS AKTOR ATHENS,PAN,104,ANADOLU EFES ISTANBUL,IST,89,True
228,RS,26,"Feb 06, 2025",20:30,230,E2024_230,Regular Season,FC BAYERN MUNICH,MUN,76,LDLC ASVEL VILLEURBANNE,ASV,67,True
229,RS,26,"Feb 07, 2025",19:00,231,E2024_231,Regular Season,AS MONACO,MCO,69,PARTIZAN MOZZART BET BELGRADE,PAR,86,True
230,RS,26,"Feb 07, 2025",20:30,232,E2024_232,Regular Season,BASKONIA VITORIA-GASTEIZ,BAS,89,MACCABI PLAYTIKA TEL AVIV,TEL,82,True
231,RS,26,"Feb 07, 2025",20:30,233,E2024_233,Regular Season,FC BARCELONA,BAR,88,OLYMPIACOS PIRAEUS,OLY,90,True
232,RS,26,"Feb 07, 2025",20:30,234,E2024_234,Regular Season,VIRTUS SEGAFREDO BOLOGNA,VIR,77,PARIS BASKETBALL,PRS,83,True
